EventYear,Event,Market,PreAvg_USD,PostAvg_USD,Delta_USD,PreAvg_Share,PostAvg_Share,Delta_Share
2017,None,Japan,6589467443.24,7676479000.0,1087011556.7600002,0.0894851691972118,0.07818308794494071,-0.011302081252271098
2017,None,South Korea,6928830138.02,6738414500.0,-190415638.02000046,0.09451950497789757,0.06866281456679715,-0.02585669041110042
2017,None,TOTAL (All markets),578795196.023608,800913469.3877552,222118273.3641472,0.00784313725490196,0.008163265306122448,0.0003201280512204873
2017,None,China,17239442623.895,31457347000.0,14217904376.105,0.23226120351753354,0.3205480775339511,0.08828687401641755
2017,None,United States,1428037291.005,1505604500.0,77567208.99499989,0.019499343187715238,0.015353336699434502,-0.004146006488280736
2017,None,Hong Kong,21648620575.015,25961727000.0,4313106424.985001,0.29317226707965904,0.2645693118390686,-0.028602955240590422
2017,None,Singapore,11252341826.99,11856325500.0,603983673.0100002,0.15325608102374824,0.12086819533606265,-0.032387885687685594
2017,None,Malaysia,2785692189.325,4998409000.0,2212716810.675,0.0374056845124438,0.05104387591366559,0.013638191401221793
2017,None,Vietnam,423479647.52,526701500.0,103221852.48000002,0.005748814321548625,0.005345495050035487,-0.00040331927151313843
2017,None,Japan,6589467443.24,7676479000.0,1087011556.7600002,0.0894851691972118,0.07818308794494071,-0.011302081252271098
2017,None,South Korea,6928830138.02,6738414500.0,-190415638.02000046,0.09451950497789757,0.06866281456679715,-0.02585669041110042
2017,None,TOTAL (All markets),578795196.023608,800913469.3877552,222118273.3641472,0.00784313725490196,0.008163265306122448,0.0003201280512204873
2018,US-China trade war begins (Section 301 tariffs),China,23170589500.0,37249699000.0,14079109500.0,0.27053940840731205,0.3335796058889326,0.06304019748162054
2018,US-China trade war begins (Section 301 tariffs),United States,1374603500.0,1561102000.0,186498500.0,0.01619310956964299,0.014109504347996179,-0.002083605221646811
2018,US-China trade war begins (Section 301 tariffs),Hong Kong,23976755500.0,29864451500.0,5887696000.0,0.2824345640629541,0.2680483679375462,-0.014386196125407869
2018,US-China trade war begins (Section 301 tariffs),Singapore,11865225500.0,13245565500.0,1380340000.0,0.13927046356234943,0.11903159600753968,-0.020238867554809747
2018,US-China trade war begins (Section 301 tariffs),Malaysia,4368010000.0,4752645000.0,384635000.0,0.05062696768393806,0.04304261376936125,-0.007584353914576812
2018,US-China trade war begins (Section 301 tariffs),Vietnam,552207500.0,790858000.0,238650500.0,0.006409112764115267,0.007035713461350328,0.0006266006972350602
2018,US-China trade war begins (Section 301 tariffs),Japan,6805347500.0,8726514500.0,1921167000.0,0.08032790687597578,0.07858865268816306,-0.0017392541878127193
2018,US-China trade war begins (Section 301 tariffs),South Korea,6685821000.0,7809822000.0,1124001000.0,0.07885577505774904,0.07007606879075129,-0.008779706266997755
